_id,codice_cis,denominazione,ragione_sociale,comparto,tipologia,sottotipologia,classicazione,cod_istat_provincia_sede_operativa,sigla_provincia_sede_operativa,provincia_sede_operativa,codice_nuts_1_sede_operativa,codice_nuts_2_sede_operativa,codice_nuts_3_sede_operativa,codice_istat_comune_sede_operativa,comune_sede_operativa,via_sede_operativa,civico_sede_operativa,mail_sede_operativa,telefono_sede_operativa,localita_sede_operativa,pec_sede_operativa,sito_web,lingue_parlate,brand_comunicazione,breve_descrizione,foto,foto1,foto2,foto3,foto4,foto5,latitudine,longitudine,data_ultima_modifica,tel_fisso,logo,codice_ateco,modalita_prenotazione,cancellazione_pagamento,carte_credito_accreditate,accessibilita_spazi_interni,accessibilita_spazi_esterni,servizi_animali,servizi_generali,tipo_cucina,fascia_prezzo_pasto_medio,riconoscimenti,ricetta_tipica,descrizione_servizi,territorio,prodotto_specializzazione,tema_specializzazione,tipo_rappresentazione,produzione_tipica_zona,prodotti_tipici,tipo_attrezzatura_ricreativa,periodi,id_sede,provincia,comune,localita,servizi_camera,parcheggio,internet,check_in,check_out,prima_colazione,tipo_colazione,resort,centro_congressi,numero_sale,accessibilita_sale_disabili,capienza_sala_principale,lunghezza_sala_principale,superficie_sala_principale,potenza_elettrica_max_sala_principale,caratteristiche_sala_principale,capienza_sala_piccola,superficie_totale_sale,area_foyer,numero_zone_foyer,zone_banchetti,totale_superificie_area_congressi,area_espositiva_interna,area_espositiva_esterna,superficie_area_esposativa_interna,superficie_area_espositiva_esterna,servizi_per_eventi,country_house,masseria_didattica,certificazione_qualita_ambientale,scelta_parcotema_percorso_cammino,scelta_cantina_frantoio_forno_pastificio_caseificio,scelta_maneggio_campogolf_stadio_diving,servizio_biglietteria,scelta_teatri_saleconcerto,scelta_infopoint_proloco,scelta_cinema_studicinema_mediatiche,scelta_biblio_archivi_musei_galleriearte,scelta_parcodivertimento_parcotematico,numero_zone_banchetti,servizi_specifici_persone_disabili,scelta_porto_approdo_puntoormeggio
400,,Lido Torquemada,Lido Torquemada DI Ronzulli Anna Sas,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Corso Vittorio Emanuele,231,ass.asba@gmail.com,,,,,,,struttura balneare ideale per famiglie e giovani,,,,,,,41.3811,16.141233,2022-10-31 00:00:00+01,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,Privato coperto gratuito | Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
401,,Lido Tre Caravelle,Le Tre Caravelle,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Lungomare Cristoforo Colombo,,ass.asba@gmail.com,,,,,,,struttura balneare ideale per famiglie e bambini,,,,,,,41.38021,16.14408,2022-10-31 00:00:00+01,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
402,,Lido Tre Stelle,Lido Tre Stelle di Ruggieri Maria Teresa,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071060,Vieste,Lungomare Enrico Mattei,117,info@lidotrestelle.it,0884707393,,,,,LIDO TRE STELLE,"Stabilimento balneare situato in località Scialara Spiaggia di Pizzomunno,  a sud di Vieste in una delle spiagge più belle di Vieste.",,,,,,,41.882477,16.176748,2022-10-04 00:00:00+02,0884707393,,,,,,Porte di accesso facilmente manovrabili | Servizi igienici,Percorsi | Pavimentazione | Parcheggi | Segnaletica,,,,,,,,Gargano e Daunia,,,,,,,,16,,,Lugomare E. Mattei - Loc. Scialara,,Privato coperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
403,,Lido Tre Torri,Tre Torri s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071031,Mattinata,Contrada Torre del Porto,,icconsulting@alice.it,,,,,,LIDO TRE TORRI,STABILIMENTO BALNEARE,,,,,,,41.70814,16.068314,2022-09-29 00:00:00+02,,,,,,,Servizi igienici,Parcheggi,,,,,,,,Gargano e Daunia,,,,,,,,16,,,MATTINATA,,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
404,,Lido Tricarico,Lido Tricarico s.n.c.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071029,Manfredonia,"Viale Miramare ""Spiaggia Castello""",,ernestopaternostro@gmail.com,3339068080,,,,,Lido tricarico,Stabilimento balneare,,,,,,,41.630733,15.916511,2023-09-25 00:00:00+02,3339068080,,,,,,Servizi igienici,Pavimentazione,,,,,,,,Gargano e Daunia,,,,,,,,16,,,Manfredonia,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
405,,Lido Trincea,Lido Trincea di Depalma MIchele,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072022,Giovinazzo,Lungomare Marina Italiana,,micheledepalma82@gmail.com,,,,,,lido trincea,"stabilimento balneare dotato di servizi come cabine, lettini, ombrelloni e bar.",,,,,,,41.19146,16.659306,2023-01-18 00:00:00+01,,,,,,,Porte di accesso facilmente manovrabili | Servizi igienici,Parcheggi | Segnaletica,,,,,,,,Bari e la costa,,,,,,,,16,,,Giovinazzo - lungomare Marina Italiana - località trincea,,Custodito | Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
406,,LIDO TROCADERO,LIDO TROCADERO,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073003,Castellaneta,Lungomare Eroi del Mare,3,trocadero@lidotrocadero.it,0998439287,,,www.lidotrocadero.it,,lido trocadero,"Location molto suggestiva e unica relativamente all'arco ionico della costa orientale tarantina. Il ristorante è una terrazza abbarbicata sulla costa che si affaccia sul mare cristallino, dove si possono gustare primi e secondi di pesce freschissimo, appena pescato. Pizza ottima.",,,,,,,40.467285,16.944416,2019-07-01 00:00:00+02,0998439287,,,,,,,,,,,,,,,"Magna Grecia, Murgia e Gravine",,,,,,,,16,,,castellaneta marina,,Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
407,,Lido Tropea,Lido Tropea di Zaterini Fernanda,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075057,Otranto,ss 16 Otranto - San Cataldo,,dariopappada@gmail.com,,,,,,Lido Tropea,"Un Lido dalla struttura realizzata interamnete in legno naturale,situata a ridosso della fascia dunale.",,,,,,,40.143898,18.491167,2022-09-26 00:00:00+02,,,,,,,,Parcheggi | Segnaletica,,,,,,,,Salento,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
408,,Lido Trullo,CI.PI. s.n.c. di Pirro Rosa & C.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,Via A. Giovine,30,info@lidotrullo.it,0805491161,,,www.lidotrullo.it,,Lido Trullo,Stabilimento balneare,,,,,,,,,2019-07-01 00:00:00+02,0805491161,,,,,,,,,,,,,,,Bari e la costa,,,,,,,,16,,,Bari,,Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
409,,Lido Turrisi,Heiwa s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075035,Lecce,Via Caboto San Cataldo,1,heiwasrl@legalmail.it,3395671239,,,,,Lido Turrisi,Stabilimento balneare,,,,,,,40.391273,18.305567,2019-07-01 00:00:00+02,3395671239,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,San Cataldo,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
410,,Lido Universo,Lido Universo di Bleve Claudia & C. s.a.s.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075057,Otranto,via Alimini,snc,lidouniverso@gmail.com,3279453315,,,www.lidouniverso.it,,Lido Universo,"Siamo posizionati nella stupenda baia dell'alimini a pochi chilometri da Otranto. La spiaggia è attrezzata con tutti i confort ed è annesso un bar-ristoro. La nostra spiaggia è rivolta sopratutto alle famiglie, per cui i prezzi sono accessibilissimi. Al bar si possono gustare piatti freddi e caldi, gustose insalatone e frutta. Insomma la giornata a mare è relax e divertimento.",,,,,,,,,2022-09-29 00:00:00+02,3279453315,,,,,,Pavimenti non sdrucciolevoli | Percorsi orizzontali con andamento quanto piu' possibile continuo | Servizi igienici,Pavimentazione | Segnaletica | Parcheggi,Ciotola acqua,Bar | Punto ristoro | Baby sitting,Tipica,,,,,Salento,,,,,,,,16,,,alimini,,Privato coperto a pagamento | Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
411,,Lido Valentino,La Concordia Società Cooperativa,Enogastronomia | Mare,Ristorazione | Stabilimenti balneari,"Servizi di ristorazione (ristoranti, catering, ...) | Servizi per la gestione di stabilimenti balneari",n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073003,Castellaneta,Lungomare Eroi del Mare,33,lidovalentino@libero.it,0998431838,,lidovalentino@pec.it,,Italiano | Inglese | Francese,lido valentino,impresa familiare,,,,,,,,,2022-09-19 00:00:00+02,0998431838,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Porte e finestre facilmente utilizzabili | Arredi fissi | Servizi igienici | Balconi e terrazze | Percorsi orizzontali con andamento quanto piu' possibile continuo | Pendenza rampa,Percorsi | Pavimentazione | Parcheggi,Ciotola acqua | Ciotola croccantini,Cassaforte / cassette di sicurezza | Ristorante | Bar | Reception 24h,Per celiaci | Vegetariana | Per altre esigenze specifiche,,,,,"Magna Grecia, Murgia e Gravine",,,,,,,,16,Taranto,CASTELLANETA,Castellaneta Marina,,Privato scoperto a pagamento,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
412,,Lido Valerio,Centro Turistico Valerio Di Valerio Carmela,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,"via barletta km 40,480",sn,ass.asba@gmail.com,,,,,,,struttura balneare per famiglie e giovani,,,,,,,41.37397,16.151165,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,Privato coperto gratuito | Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
413,,LIDO VENERE,LIDO VENERE SNC DI ZACCARIA SILFRIDO E GAROFALO ANTONIO,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075066,Salve,Corso Italia - Località Posto vecchio,3,info@lidovenere.com,,,,,,,,,,,,,,39.837757,18.257229,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,,
414,,Lido Venezia,Lido Venezia di Marrano Raffaela & C. s.a.s.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Lungomare Cristoforo Colombo,,lidovenezia@tiscali.it,0883657645,,,,,,STABILIMENTO BALNEARE AL CENTRO DI MARGHERITA DI SAVOIA. A POCHI PASSI DAL CENTRO TERMALE.,,,,,,,41.37828,16.14751,2022-10-31 00:00:00+01,0883657645,,,,,,Pendenza rampa,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
415,,Lido Venezia,Lido Venezia di Mascia Antonio,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071059,Vico del Gargano,Spiaggia Contrada Valazzo San Menaio,snc,antoniomascia91@gmail.com,3387668180,,studio.altomare@initpec.it,,Italiano,LIDO VENEZIA DI MASCIA ANTONIO,Stabilimento balneare,,,,,,,41.934246,15.933741,2023-09-28 00:00:00+02,3387668180,,,,,,Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo | Pendenza rampa,Percorsi,Spazio apposito per animali,Bar,Altro,,,,,Gargano e Daunia,,,,,,,,16,Foggia,VICO DEL GARGANO,SAN MENAIO - VICO DEL GARGANO,,Nessuno,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
416,,Lido Verde,LIDO VERDE SRL,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074007,Fasano,via Appia Antica,s.n.c.,lidoverdesrl@virgillio.it,0804820216,,,,,LIDO VERDE SRL,STABILIMENTO BALNEARE,,,,,,,40.825542,17.481932,2019-07-01 00:00:00+02,0804820216,,,,,,Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo,Percorsi | Parcheggi,,,,,,,,Valle d'Itria e Murgia dei Trulli,,,,,,,,16,,,TORRE CANNE,,Privato coperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,passerelle,
417,,Lido Verde,Mantuano Angelo,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071031,Mattinata,Località Torre del Porto,,icconsulting@alice.it,,,,,,LIDO VERDE,STABILIMENTO BALNEARE,,,,,,,41.71062,16.049088,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,MATTINATA,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
418,,LIDO VESTA SRL,LIDO VESTA SRL,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071060,Vieste,LUNGOMARE ENRICO MATTEI,KM 0.400,pietrovescera@libero.it,3473798291,,lidovesta@pec.it,,,,,,,,,,,,,2023-05-10 00:00:00+02,3473798291,,,,,,,,,Bar,Altro,,,,,Gargano e Daunia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,Lido York,Lido York di Prete Alfredo,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075035,Lecce,Viale Amerigo Vespucci,11,pretealfredo@yahoo.it,,,,,,Lido york,Stabilimento Balneare ristorante bar,,,,,,,40.415886,18.302097,2019-07-01 00:00:00+02,,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Porte e finestre facilmente utilizzabili | Arredi fissi | Terminali degli impianti facilmente utilizzabili e individuabili | Servizi igienici | Cucine | Balconi e terrazze | Percorsi orizzontali con andamento quanto piu' possibile continuo | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo | Pendenza rampa,Percorsi | Pavimentazione | Parcheggi | Segnaletica,,,,,,,,Salento,,,,,,,,16,,,SAN CATALDO,,Privato scoperto gratuito | Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
420,,LIDO ZEN,ZEN SRL,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075031,Gallipoli,ROSMINI,29,AMM.ZENSRL@GMAIL.COM,3425740304,,ZENSRL@MYPEC.EU,www.lidozen.it,Inglese | Italiano,LIDO ZEN,"Attrezzatissima spiaggia a Baia Verde con lettini e ombrelloni. Sabbia finissima, bagnata dal mare cristallino dello Ionio. ",,,,,,,,,2022-10-01 00:00:00+02,3425740304,,93.29.20,,,,,,,,Italiana,,,,,Salento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,LIDO ZEN,ZEN SRL,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075031,Gallipoli,Via ROSMINI,,lele@lidozen.it,3470546110,,,,,,,,,,,,,,,2019-07-01 00:00:00+02,3470546110,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,,
422,,L'Isola dei Briganti,Borelli Claudio,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075043,Melendugno,Lungomare Matteotti,,isoladeibriganti@libero.it,3476268598,,,lisoladeibriganti.com,Italiano | Inglese | Tedesco,l'isola dei briganti,"il lido L'Isola dei Briganti rappresenta un punto di riferimento per le vacanze nel salento. Il suo staff ospitale, gli spazi accoglienti ed attrezzati per ogni esigenza di adulti e soprattutto piccini e l'autentica atmosfera di familiarità e cortesia fanno di questo lido il posto ideale per rigenerarsi nel più totale relax in un luogo magico e indimenticabile.",,,,,,,40.30295,18.402666,2022-10-03 00:00:00+02,3476268598,,,online,online,si,Servizi igienici | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo,Percorsi | Parcheggi,,,,,,,,Salento,,,,,,,,16,,,san foca,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
423,,L'Orsetta,L'Orsetta s.a.s. di Montinaro Francesca,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075043,Melendugno,Via Turati - Torre dell'Orso,s.n.,montinarofrancesca@libero.it,349-3972454,,,Facebook-Lido l'orsetta torre dell'orso,,"L'orsetta nasce nel 1953 grazie alla determinazione,la passione e l'amore di Luciano Montinaro.Gestito a conduzione familiare fino ai nostri giorni.Oggi è uno stabilimento balneare con docce,spogliatoio,fasciatoio,medicheria,sedia job,accesso per disabili,bagni donna uomo e disabili,doccia calda e fredda e animazione per bambini.C'è un servizio bar con varie leccornie e piatti freddi ed un ristorante nel quale si possono gustare gli spaghetti ai frutti di mare,soutè di cozze e la fantastica frittura di pesce.Tutto questo accompagnato da ottima musica.",a varia...il tutto accompagnato da bella musica ed animazione.Servizio ristorante dove potete assaporare degli spaghetti con frutti di mare ed una frittura di pesce che il solo profumo inonda la spiaggia.Apertura ore 8:00-chiusura ore 20:00,,,,,,,,,2023-10-09 00:00:00+02,349-3972454,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Arredi fissi | Servizi igienici | Cucine | Percorsi orizzontali con andamento quanto piu' possibile continuo | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo | Pendenza rampa,Percorsi | Pavimentazione | Segnaletica,,,,,,,,Salento,,,,,,,,16,,,torre dell'orso melendugno,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
424,,lo smeraldo ,lo smeraldo di de giglio maria sas,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072022,Giovinazzo,contrada s matteo,snc,mamasbeachgiovinazzo@libero.it,3517397230,,losmeraldosas@pec.it,www.mamasbeach.it,Inglese | Italiano,mamas beach,"il mamas beach è un lido situato a giovinazzo con due piscine una per adulti e una per bambini . ampio bar attrezzato , cabine , docce e servizi ombrellone e lettino.",https://www.dms.puglia.it/digitalmanagementsystem/image/36832/foto1-36832.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/36832/foto2-36832.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/36832/foto3-36832.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/36832/foto4-36832.jpg,https://www.dms.puglia.it/digitalmanagementsystem/image/36832/foto5-36832.jpg,,,,2023-05-10 00:00:00+02,3517397230,,,in sede,in sede,tutte,,,Ciotola acqua,Bar | Ristorante,Tipica,,,,,Bari e la costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,,L'Ultima Spiaggia,Promotional service s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073027,Taranto,Litoranea Salentina - Isola Amm.va TA/C,,carmeloamorosi@alice.it,3406636619,,,,,L'Ultima Spiaggia,"Stabilimento balneare attrezzato, dotato di servizio bar e cucina tipica della zona",,,,,,,40.33253,17.429268,2022-09-30 00:00:00+02,3406636619,,,,,,Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo,Percorsi | Segnaletica,,,,,,,,"Magna Grecia, Murgia e Gravine",,,,,,,,16,,,Litoranea Salentina,,Privato coperto a pagamento | Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
426,,Malammore Beach Club,BIGMAMA sas di SANTAMARIA Francesco & C.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071029,Manfredonia,"Viale Miramare, località Spiaggia Castello",snc,info@malammore.it,3498693369,,,www.malammore.it,,Malammore Beach Club,"Stabilimento balneare sito nella splendida cornice della Spiaggia Castello di Manfredonia, una delle più belle spiagge del Gargano.",,,,,,,,,2023-06-22 00:00:00+02,3498693369,,,,,,Percorsi orizzontali con andamento quanto piu' possibile continuo,Percorsi | Pavimentazione | Parcheggi | Segnaletica,,,,,,,,Gargano e Daunia,,,,,,,,16,,,Manfredonia (FG),,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
427,,Maracaibo,Greco Adriano,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075087,Trepuzzi,Via della Luna,,dittagreco@libero.it,,,,,,maracaibo,bar ombrelloni lettini,,,,,,,40.416416,18.085325,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,casalabate,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,passerelle,
428,,MARE MOSSO,BELLA PUGLIA SRL,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074007,Fasano,SP SAVELLETRI TORRE CANNE,SN,BELLAPUGLIASRL@PEC.IT,0804422654,TORRE CANNE,BELLAPUGLIASRL@PEC.IT,,Francese | Inglese | Italiano | Tedesco,MARE MOSSO,MARE MOSSO - STABILIMENTO BALNEARE CON CHIOSCO BAR E RISTORANTE-PARCHEGGHIO A CIELO APERTO.,,,,,,,,,2022-11-03 00:00:00+01,0804422654,,93.29.20,,,,,,,Bar | Punto ristoro | Ristorante,Altro | Internazionale | Per celiaci | Vegetariana | Tipica | Per altre esigenze specifiche,,,,,Valle d'Itria e Murgia dei Trulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,,MARIANA PICCOLA S.r.l.,MARINA PICCOLA S.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072029,Molfetta,SS 16 KM 779 ,II Cala,marianocaputo@libero.it,3387472960,MOLFETTA ,mariano.caputo@pec.ordineavvocatitrani.it,http://www.marina-resort.it,Francese | Inglese | Italiano,MARINA RESORT,Marina Resort è il nuovo concept space sulla litoranea tra Molfetta e Giovinazzo; un lido balneare dotato di ogni comfort e un ristorante all'avanguardia creano un'oasi di tranquillità a due passi dalla città. Contatti: 0802241264 - 3711450156,https://dms.ect.regione.puglia.it/image/61923/foto1-61923.jpg,https://dms.ect.regione.puglia.it/image/61923/foto2-61923.jpg,https://dms.ect.regione.puglia.it/image/61923/foto3-61923.jpg,https://dms.ect.regione.puglia.it/image/61923/foto4-61923.jpg,https://dms.ect.regione.puglia.it/image/61923/foto5-61923.jpg,,,,2022-03-02 00:00:00+01,3387472960,,93.29.20,telefonica,,Tutte,Arredi fissi | Cucine | Balconi e terrazze | Pavimenti non sdrucciolevoli | Percorsi orizzontali con andamento quanto piu' possibile continuo | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo | Pendenza rampa | Servizi igienici | Terminali degli impianti facilmente utilizzabili e individuabili,Parcheggi | Percorsi | Segnaletica | Pavimentazione,,Bar | Ristorante | Punto ristoro,Tipica | Vegetariana | Per celiaci,,,,,Bari e la costa,,,,,,,,16,Bari,MOLFETTA,Seconda Cala,,Privato scoperto gratuito | Pubblico gratuito,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,,
430,,MARINELLI S.R.L.,MARINELLI S.R.L.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075060,Patù,VIA MAGNA GRECIA - MARINA DI FELLONICHE,SNC,info@marinellibagni.it,3665051358,,,http://www.marinellivacanze.it/,Italiano | Inglese,MARINELLI,"LIDO ATTREZZATO, BAR, RISTORANTE WEDDING",,,,,,,39.810276,18.31771,2022-09-28 00:00:00+02,3665051358,,,,,,,,Ciotola acqua,,Tipica,,,,,Salento,,,,,,,,16,,,LOCALITA' FELLONICHE,,Nessuno,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
431,,MIKKI BEACH,Balnearea srl,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072022,Giovinazzo,EX S.S. 16 Giovinazzo - Molfetta  km 780 + 800,snc,balnearea@gmail.com,3392704744,,,,,MIKKI BEACH,Stabilimento Balneare Sea lounge Club Bar,,,,,,,41.188454,16.665215,2023-01-18 00:00:00+01,3392704744,,,,,,,Percorsi | Pavimentazione | Parcheggi | Segnaletica,,,,,,,,Bari e la costa,,,,,,,,16,,,Giovinazzo,,Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
